chae_id,gaia_a,gaia_b,ra_a,dec_a,ra_b,dec_b,parallax_a,parallax_error_a,parallax_b,parallax_error_b,pmra_a,pmra_error_a,pmdec_a,pmdec_error_a,pmra_b,pmra_error_b,pmdec_b,pmdec_error_b,rv_diff,rv_sigma,gaia_rv_a,gaia_rv_err_a,gaia_rv_b,gaia_rv_err_b,mass_flame_a,mass_flame_a_err,mass_flame_b,mass_flame_b_err,mass_total_flame,ruwe_a,ruwe_b,phot_g_mean_mag_a,phot_g_mean_mag_b,bp_rp_a,bp_rp_b,d_M_pc,v_obs_over_vesc,v_obs_over_vesc_err,Gamma,Gamma_err_upper,Gamma_err_lower,rv_source,merits
54,4940794866807373952,4940794488850252928,28.11510005044494,-49.52397526048003,28.10670232685448,-49.53443155768009,8.60454046912399,0.01291845366358757,8.597912153164106,0.012767034582793713,31.37716352059229,0.012340118177235126,-47.56029523254779,0.012646646238863468,32.434029997920014,0.01171492412686348,-48.12463982011655,0.012684239074587822,0.449,0.004,22.730792999267578,0.14494486153125763,22.37702751159668,0.15928225219249725,1.176542043685913,0.04000520706176758,1.145897626876831,0.04000455141067505,2.322439670562744,1.011803150177002,0.9898794293403625,8.995285987854004,9.146162986755371,0.6699914932250977,0.6777782440185547,116.26,0.9,0.02,0.222,0.233,0.233,HARPS,2;3;5
55,4722135642226902656,4722111590409480064,49.56622620807744,-62.5034842270098,49.45525439342999,-62.572432544470445,83.06064664354982,0.06081564351916313,83.02397018243857,0.043765127658843994,1331.0270879085913,0.07289677858352661,647.7253950157487,0.08307062089443207,1337.5303752785856,0.05065305531024933,649.8397532183421,0.07054606080055237,-0.464,0.028,11.936549186706543,0.12755975127220154,12.441243171691895,0.12227609008550644,0.9965256452560425,0.04004389047622681,0.9695570468902588,0.04004383087158203,1.9660826921463013,1.2022415399551392,0.9787095785140991,5.07960844039917,5.344615936279297,0.7856764793395996,0.8345952033996582,12.04,0.7,0.04,0.079,0.254,0.254,HARPS,3
56,5060104351007433472,5060105897197110144,50.01667855900128,-28.854362578686352,50.01403102395243,-28.78412676056192,27.875960404064863,0.017160076647996902,27.812323049350464,0.023854989558458328,349.0538298521275,0.010815700516104698,-65.30521475786597,0.013250486925244331,348.8686604181032,0.014826859347522259,-66.61443733287662,0.018604924902319908,-0.254,0.035,39.84940719604492,0.11795469373464584,40.270111083984375,0.12039764970541,0.9316447377204895,0.0400010347366333,,,,0.9644808173179626,1.0457683801651,7.208484649658203,8.248519897460938,0.8092665672302246,0.9817628860473633,35.9,0.65,0.12,0.031,0.247,0.146,HARPS,3;5
57,4666907551119833984,4666907516760096512,56.195063295142845,-70.02708189152096,56.25634113699592,-70.02453279695958,18.185492472961077,0.01442903745919466,18.177492475105282,0.015774376690387726,-10.077792279215323,0.017802778631448746,-97.11735493066143,0.01662967912852764,-9.063211465900643,0.019054720178246498,-97.34680710969886,0.017523886635899544,-0.197,0.013,27.560897827148438,0.12165126204490662,27.879806518554688,0.13102298974990845,1.0784343481063843,0.04000496864318848,1.079469919204712,0.04000300168991089,2.157904267311096,1.0100287199020386,1.027729868888855,7.286156177520752,7.438587665557861,0.7714800834655762,0.7523694038391113,55.0,0.45,0.08,-0.139,0.272,0.13,HARPS,3
58,5607190344506642432,5607189485513198208,105.04081710693724,-31.141527321663364,105.01154665906802,-31.22792385802079,26.306639749147237,0.016983482986688614,26.200877306534647,0.01956074684858322,18.769504567780306,0.016229793429374695,35.759556152248734,0.01813640259206295,19.094419920237804,0.02010277472436428,36.210117931175574,0.01945454068481922,-0.08,0.003,16.441364288330078,0.12495625019073486,16.725854873657227,0.14073546230793,1.2377943992614746,0.04001051187515259,0.9244943857192993,0.04002934694290161,2.162288784980774,0.9281657338142395,1.033965826034546,6.504829406738281,8.258848190307617,0.6004757881164551,0.9141368865966797,38.08,0.35,0.04,-0.299,0.254,0.162,HARPS,3;5
59,4235732073427592704,4235731867269159680,300.4040430593566,-1.6713329132732426,300.41946653842814,-1.6756505613375616,9.961286927364172,0.01798149012029171,9.983527731430431,0.017499007284641266,-6.81014321944274,0.020676011219620705,-16.02469190456257,0.013352672569453716,-6.913525047834761,0.019969912245869637,-15.226508113635763,0.013207437470555305,-0.861,0.015,-60.69515609741211,0.1465066373348236,-59.60270309448242,0.18902918696403503,1.0885511636734009,0.05525296926498413,1.0517346858978271,0.04001086950302124,2.140285849571228,1.1031690835952759,0.9690104126930237,8.72247314453125,8.896265983581543,0.7216062545776367,0.7374048233032227,100.27,1.12,0.03,0.339,0.246,0.246,HARPS,3
60,6458951765971500672,6458952345790198144,325.99500210330194,-57.32548219576969,326.00061675321734,-57.28328960332869,22.54260342602801,0.01955944485962391,22.59447066207429,0.01602863147854805,-116.54140853320823,0.019414281472563744,-52.78002623541838,0.0174216590821743,-115.25347158813142,0.015716969966888428,-53.057385509131755,0.014881758019328117,0.064,0.012,36.90363311767578,0.12428971379995346,37.24757385253906,0.12276683747768402,1.3161906003952026,0.04000413417816162,1.225011944770813,0.04000276327133179,2.5412025451660156,0.9599040150642395,0.9359957575798035,6.374228477478027,6.747614860534668,0.6511440277099609,0.6352214813232422,44.3,0.45,0.12,-0.125,0.255,0.133,HARPS,3
61,2201661297490051968,2201661091331626752,335.2859344481037,61.47369185108596,335.3229859618132,61.4613012368461,9.291754673133847,0.012166556902229786,9.311986711628919,0.011326925829052925,-18.679093120682946,0.013567295856773853,-44.412426077590986,0.013014930300414562,-18.842565817115922,0.013484607450664043,-45.12904545327456,0.011669558472931385,-0.018,0.006,-12.73431396484375,0.25103476643562317,-12.387471199035645,0.2676194906234741,1.030637264251709,0.040698856115341187,1.0371835231781006,0.04002371430397034,2.0678207874298096,0.9625331163406372,0.859728991985321,9.949877738952637,10.087056159973145,0.8158063888549805,0.8472499847412109,107.5,0.62,0.07,0.056,0.244,0.116,MAROON-X,5
62,1871558941576158464,1871559697490418816,314.24161580521775,37.00049326709565,314.23514361176905,37.02319947054682,10.81656654723964,0.01231530960649252,10.818780893371875,0.012546359561383724,23.54369717715796,0.011192467994987965,-8.894730562658026,0.012771355919539928,23.594442777905837,0.011289197951555252,-9.266141401390296,0.012972363270819187,-0.024,0.009,-22.920562744140625,0.29144951701164246,-23.346593856811523,0.32641837000846863,,,0.7335987687110901,0.04004466533660889,,0.8768818974494934,0.9917139410972595,11.30924129486084,11.467695236206055,1.2932052612304688,1.3463430404663086,92.44,0.35,0.07,-0.243,0.223,0.114,MAROON-X,1
65,4230699363889120128,4230699329529382400,306.4576702342066,0.9719453661263723,306.4437193601061,0.9600756357420335,12.565545345447603,0.01712193340063095,12.593214937439654,0.014528870582580566,20.925639284473238,0.017029277980327606,36.59250601042993,0.014174951240420341,21.547798316663105,0.015418303199112415,35.60859557615632,0.012285532429814339,-0.278,0.022,-38.22624588012695,0.16487424075603485,-38.24382019042969,0.5140208601951599,1.0167311429977417,0.04000747203826904,0.8692771792411804,0.04002737998962402,1.8860083222389221,1.1237304210662842,0.9485023021697998,8.944766998291016,10.431522369384766,0.7563133239746094,1.074136734008789,79.48,0.79,0.07,0.055,0.244,0.102,MAROON-X,1
66,3400292798990117888,3394298532176344960,81.10726354597193,17.38350331190306,80.91108310811642,17.32409154334818,68.59075963795857,0.10395147651433945,68.76616259697118,0.02464359439909458,250.48290468501668,0.1077122911810875,-7.156277817184632,0.07725029438734055,250.98385957728127,0.026574188843369484,-5.707287427419183,0.019159452989697456,-0.253,0.052,37.700523376464844,0.13817265629768372,38.032379150390625,0.12415482848882675,1.0956472158432007,0.04000192880630493,0.7230852246284485,0.04026755690574646,1.8187324404716492,0.8205374479293823,1.0335158109664917,4.850188255310059,7.543094158172607,0.7080183029174805,1.3481945991516113,14.54,0.61,0.11,-0.044,0.265,0.171,Scarpa,6
69,1440518669436791296,1440425863783337856,262.4352261930255,63.85184444778799,262.31908858269315,63.86832758362504,21.930982317068175,0.016357533633708954,21.936944014916772,0.01339823566377163,1.6725481628341186,0.02028750441968441,-182.2265853046572,0.02101428061723709,1.0469279801073625,0.015787558630108833,-182.08067219799767,0.019101634621620178,-0.442,0.034,-34.1548957824707,0.1265663057565689,-33.66108703613281,0.13159626722335815,1.0479134321212769,0.04000169038772583,0.9541054368019104,0.040974169969558716,2.0020188689231873,1.0377718210220337,0.9862360954284668,7.531859874725342,8.261458396911621,0.7276887893676758,0.8517231941223145,45.59,0.78,0.07,0.12,0.247,0.116,Scarpa,6
75,2882262637207289216,2882262529831237120,359.7881134841012,41.20176501026879,359.7790627636934,41.1705733314189,24.442674908964186,0.01891612820327282,24.43386404208661,0.020197706297039986,80.12098274378648,0.014821112155914307,3.9213045856311095,0.015297369100153446,81.56261289823047,0.016610553488135338,3.9334272853320975,0.014926365576684475,0.747,0.021,29.939517974853516,0.12827110290527344,29.27114486694336,0.12828142940998077,1.0399750471115112,0.04000520706176758,0.9611679315567017,0.040008097887039185,2.001142978668213,0.9560282826423645,0.9377387166023254,7.5905609130859375,8.004655838012695,0.751441478729248,0.8123049736022949,40.92,0.92,0.03,0.218,0.223,0.223,Scarpa,6
